Name,Platform,Tags,Release Date,Price,Owned,HowLongToBeat,MetaCritic User Score,MetaCritic Score,HowLongToBeat Main,HowLongToBeat Complete,Scorix
Slay the spire,,,"23 Jan, 2019","7,81€",False,,7.7,89,12.0,192.85,3.67
Iron lung,,,"9 Mar, 2022","7,79€",True,,6.2,tbd,1.19,1.66,44.73
Infinifactory,,,"30 Jun, 2015","24,50€",True,,9.2,70,35.89,62.61,1.78
Chained echoes,,,"8 Dec, 2022","24,99€",False,,8.7,90,33.47,55.34,2.12
Mother 2,,,,,False,,,,11.5,14.25,nan
Chrono Trigger,,,"27 Feb, 2018","7,49€",False,,9.2,92,,,nan
Subnautica 2,,,,,False,,8.6,87,,,nan
Ori and the blind forest,,,"27 Apr, 2016","19,99€",False,,8.2,88,8.94,12.54,8.14
Potion Craft,,,"13 Dec, 2022","8,77€",True,,7.1,76,19.82,36.06,2.87
doom eternal,,,"19 Mar, 2020","39,99€",False,,8.8,88,14.35,27.09,4.69
Dragon Quest XI,,,"4 Dec, 2020","23,99€",False,,,,,,nan
Cocoon,,,"29 Sep, 2023","22,99€",False,,7.9,88,,,nan
Super meat boy forever,,,"10 Jan, 2022","16,79€",True,,5.2,66,4.33,11.36,9.41
Disco elisyum,,,,,False,,8.2,89,,,nan
Dwarf fortress,,,"6 Dec, 2022","28,99€",True,,8.5,93,74.6,200.0,0.82
FF tactics,,,,,False,,8.2,84,0.0,0.0,nan
Death stranding,,,"30 Mar, 2022","39,99€",False,,7.4,85,,,nan
Hades 100%,,,,,False,,,,,,nan
inscryption,,,"19 Oct, 2021","19,99€",True,,8.7,85,12.5,23.67,5.26
Bayonetta,,,"11 Apr, 2017","19,99€",False,,8.3,90,11.5,41.77,4.80
FF7 Ever Crisis,,,,,False,,3.7,66,,,nan
Pyre,,,"25 Jul, 2017","19,50€",True,,7.9,85,11.14,20.81,5.65
Alan Wake -> Control -> Alan Wake 2,,,,,False,,8.4,83,,,nan
Wild hearts fixed,,,,,False,,7.9,79,,,nan
Tunic,,,"16 Mar, 2022","28,99€",False,,7.8,85,,,nan
Shadow of the colossus,,,,,False,,7.8,91,7.12,25.84,7.57
octopath traveler,,,"7 Jun, 2019","29,99€",False,,8.7,84,,,nan
Terraria 100%,,,,,False,,,,,,nan
red dead redemption 2,,,"5 Dec, 2019","19,79€",False,,8.7,97,50.2,182.09,1.17
LISA,,,"15 Dec, 2014","19,99€",True,,8.8,77,10.93,24.85,5.43
Psychonauts 2,,,"24 Aug, 2021","59,99€",False,,7.8,87,15.09,26.69,4.28
Mario Galaxy 1,,,,,False,,9.1,97,,,nan
Ocarina of time,,,,,False,,9.1,99,26.85,38.78,2.99
MGS 1,,,,,False,,tbd,tbd,,,nan
